"index"	"name"	"continent"	"added_on_mm_dd_yyyy"	"link"	"application_deadlines"	"note_tenure_track_only_there_is_another_work_sheet_for_ntt"	"x1st_round_notice"	"email_phone"	"how_many"	"track"	"x2nd_round_notice"	"email_phone_2"	"number_in_2nd_round"	"track_2"	"comment_virtual_or_onsite"	"number_positions"	"offers_made"	"accepted"	"declined"	"who_took_the_offer_congrats"	"note_1"	"note_2"	"note_3"	"note_4"	"note_5"	"note_6"	"note_7"	"note_8"	"note_9"	"note_10"	"note_11"	"note_12"	"first_round_sent_percent"	"job"	"first_round"	"flyout"	"website"
"91"	"East Carolina University"	NA	"07/08/2024"	"https://www.ama.org/listings/2024/07/08/east-carolina-university-4/ Direct link to posting: https://ecu.peopleadmin.com/postings/71787"	"initial screening begins 07/31/2024"	"Preferred experience includes teaching and a record of scholarly publications in sales or a related field. Also requires having authorization to work in the US"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.ama.org"
"93"	"California State University, Fullerton"	NA	"07/09/2024"	"https://jobs.chronicle.com/job/37679186/assistant-professor-in-marketing/"	"08/07/2024"	"~$120k"	"08/16/2024"	"Email"	"11"	"CB (9)
Quant (2)"	"09/04/2024"	"Email"	"2"	"CB (2)"	""	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://jobs.chronicle.com"
"94"	"Oberlin College"	NA	"07/09/2024"	"https://jobs.chronicle.com/job/37679192/assistant-professor-of-business-marketing-/"	"08/01/2024"	"beginning as early as the Fall semester, 2024, but no later than the Fall semester, 2025"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://jobs.chronicle.com"
"95"	"Johns Hopkins University"	NA	"07/10/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178848486&Title=Tenure%20Track%20Position%20in%20Marketing%20(Open%20Rank%3A%20Assistant%2C%20Associate%2C%20or%20Full)"	"07/24/2024"	"Open rank; beginning August 2024 (probably a typo?) - definitely typo - accepting apps into 10/2024 (for associate/full professors). Their interfolio link does not work for me - Is it just me? Nope - doesn't work for me either
https://apply.interfolio.com/149266 works < Thank you!+1"	"08/17/2024 08/20/2024"	"Email"	"18"	"Quant (5)
CB (13)"	"12/18/2024"	"email (rejection)"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"101"	"University of Southern California"	NA	"07/09/2024"	"https://usccareers.usc.edu/job/los-angeles/assistant-professor-of-marketing-tenure-track-quantitative-marketing/1209/67393603504"	"Applications processing in early August 2024"	"QUANT; $173,494 - $259,991"	"08/08/2024"	"Phone"	"7"	"Quant (7)"	"08/23/2024"	"Phone"	"4"	"Quant (4)"	""	"1"	"2"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://usccareers.usc.edu"
"102"	"University of Miami"	NA	"-"	"https://careers.miami.edu/us/en/job/R100069896/Assistant-Professor-Department-of-Marketing-MHBS"	"-"	"This is weird—they only asked for a CV. Where was this link advertised? <- linkedin <- This is over a year old "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://careers.miami.edu"
"110"	"McMaster University"	NA	"05/06/2024"	"https://universityaffairs.ca/search-job/?job_id=65422"	"08/04/2024"	"Preference will be given to candidates who specialize in Marketing Analytics and Marketing Strategy. < It says \"the positions will begin on July 01, 2024\""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://universityaffairs.ca"
"112"	"The City College of New York
(Department of Media and Communication Arts)"	NA	"07/11/2024"	"https://www.higheredjobs.com/myhigheredjobs/agent/details.cfm?JobCode=178848867&Title=Assistant%20Professor%20-%20Branding%20and%20Integrated%20Communications%20-%20Tenure%20Track"	"Open until filled with review of applications to begin on 8/4/2024"	"The successful candidate will be expected to be the Program Director of the BIC graduate program, serving as lead faculty member and providing supervision for its multiple tracks.In this capacity, they will develop course syllabi, coordinate courses in the overall curriculum, integrate discipline content into foundation and capstone courses, identify and engage capstone clients, and be able to teach graduate courses in their track of expertise. 
< A lot of expectations for an AP, lol, and the salary range is $82,928 -$93,134 (in NYC!). < is their business school hiring? < Link not working? < Link is working fine for me."	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"113"	"Southern Illinois University Edwardsville"	NA	"07/11/2024"	"https://marketingphdjobs.org/job/12888/#:~:text=The%20Management%20and%20Marketing%20Department,Professor%20starting%20in%20August%202025."	"08/16/2024"	"subject to budgetary approval <-- this is pretty standard on job postings - just FYI < But isn't the opening in the Strategic Management area? Given that they are looking to conduct interviews at the AOM career fair, this does not seem to be a Marketing job opening."	"08/29/2024"	"Email"	"Rejection (3)"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://marketingphdjobs.org"
"114"	"University of Idaho"	NA	"07/11/2024"	"https://uidaho.peopleadmin.com/postings/45096"	"08/16/2024"	"teaching 70%, research 25%, outreach 2%, service 3%; 15 credit hr course load"	"08/26/2024
09/12/2024"	"Email"	"Rejection (4)
\"Remain under consideration\" (14)
Interview (2)"	"CB (2)"	"10/11/2024"	"Email"	"Remain under consideration(3)"	""	""	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://uidaho.peopleadmin.com"
"116"	"Stanford University"	NA	"07/01/2024"	"https://facultypositions.stanford.edu/en-us/job/494722/faculty-positions-in-organizational-behavior"	"10/01/2024"	"OB but it's micro and may be applicable to some people; $225,000 - $245,000/ This is a management job market job not marketing <-- Not sure this job should be added here?  >> Agree, there is a different spreadsheet for OB jobs <- can you share the link of this spreadsheet? > Check out 78F on Q&A tab"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://facultypositions.stanford.edu"
"119"	"IPADE Business School"	NA	"05/14/2024"	"https://www.akadeus.com/announcement,a8691.html"	""	"Professors in Operations Management, Managerial Information and Control, Marketing Management, Strategy and General Management"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.akadeus.com"
"121"	"Embry-Riddle Aeronautical University"	NA	"07/03/2024"	"https://careerconnection.aacsb.edu/job/tenure-track-assistant-professor-in-marketing-o-maley-college-of-business-daytona-beach-florida-1226"	""	"Tenure-Track Assistant Professor in Marketing, O'Maley College of Business < Seems like this is the same job as #18, but just posted on different websites?"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://careerconnection.aacsb.edu"
"122"	"St. John Fisher University "	NA	"07/05/2024"	"https://careerconnection.aacsb.edu/job/open-rank-professor-and-department-chair-of-marketing-management--new-york-1015"	""	"Open Rank Professor and Department Chair of Marketing & Management-->Job category says this is only for Department Head/Chair."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://careerconnection.aacsb.edu"
"125"	"Colorado State University"	NA	"07/12/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178850579&Title=Assistant%20Professor%20of%20Marketing"	"08/15/2024"	"Based on the required job qualifications, they're looking for CB \" Successful candidates must a) have expertise in consumer behavior;...\" "	"08/23/2024"	"Email"	"4"	"CB (4)"	"09/04/2024"	"Phone"	"2"	"CB (2)"	""	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"126"	"Massachusetts Institute of Technology"	NA	"07/12/2024"	"https://apply.interfolio.com/149758"	"08/12/2024"	"Candidates should be in a discipline relevant to consumer behavior"	"09/01/2024"	"Email"	"2"	"CB (1)"	""	""	""	""	""	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://apply.interfolio.com"
"130"	"Trinity University"	NA	"07/13/2024"	"https://jobs.marketinghire.com/jobs/20306203/assistant-professor-of-marketing"	""	""	"08/30/2024"	"Email"	"3"	"Strategy(1)
CB(2)"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://jobs.marketinghire.com"
"133"	"Augusta University"	NA	""	"https://careers.insidehighered.com/job/3183031/assistant-professor-of-marketing/"	"Until Filled"	"The posting says the start date is August 2024... This job is still open on their university website: https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_SCHJOB_FL&Action=U << This job was posted on their career website on 3/1/2024"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://careers.insidehighered.com"
"137"	"Immaculata University"	NA	"07/06/2024"	"https://www.higheredjobs.com/details.cfm?JobCode=178843847"	"Until Filled"	"Assistant Professor, Sports Management and Marketing, Department of Business, Fashion and Leadership; Fall 2024<< from job description \" full-time, tenure-track position with the Department of Business, Fashion and Leadership beginning Fall 2024. The successful candidate will be expected to teach courses in Sports Management and Marketing\""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"138"	"UNC Chapel Hill"	NA	"07/01/2024"	"https://unc.peopleadmin.com/postings/283846"	""	".... Digital Marketing, Graphic Design, Investor Relations, Marketing and Events,...., /\"competitive candidates should have a creative/professional background and area of focus in their industry.\" Does not say marketing in the job listing though. Why is this job here?? \"...North Carolina at Chapel Hill is looking for three accomplished professionals...\" From School of Journalism and Media??? << Does not seem relevant posting here < School of Journalism and Media"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://unc.peopleadmin.com"
"139"	"Grambling State University"	NA	"06/19/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178827109&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"	"09/30/2024"	"<This is the same as #62"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"140"	"Bethune-Cookman University"	NA	""	"https://ucareers.com/jobdetail-254551-assistant-professor-of-marketing-business-department-of-administration"	"Until Filled"	"U.S. citizenship or permanent residency is required / The candidate must be prepared to affirm and support the Christian and liberal arts mission of Bethune-­ Cookman University."	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://ucareers.com"
"148"	"Rutgers"	NA	"07/15/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178852270&Title=Assistant%20Professor%20of%20Marketing"	"08/04/2024"	"We seek to hire an academic faculty at the assistant professor level who can offer expertise in digital marketing strategies to prepare our students for positions and leadership roles in strategic decisions in digital marketing and transformation."	"08/15/2024"	"Email"	"5 (not sure which position invited me)"	"Quant (5)"	"?"	"Email"	"4-6"	"Quant"	""	"1"	"2"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"149"	"Rutgers"	NA	"07/15/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178852269&Title=Assistant%20Professor%20of%20Marketing"	"08/04/2024"	"We seek to hire an academic faculty at the assistant professor level who can offer expertise in the new and emerging technologies to prepare our students for positions and leadership roles in modern marketing that require analytical skills to interpret complex marketing insights into actionable business decisions. <- Is this implicitly a quant position, or do y'all think it is CB too?"	"08/15/2024"	"Email"	"4 (also not sure which position)"	"CB (4)"	"09/03/2024"	"Email"	"1"	"CB (1)"	"onsite"	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"150"	"Albany State University"	NA	"07/15/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178852507&Title=Assistant%20Professor%20of%20Marketing"	"Until Filled"	"Salary range is from $75,000 to $85,000"	"08/01/2024"	"Email"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"152"	"Tulane University"	NA	"07/15/2024"	"https://apply.interfolio.com/149151"	"Until Filled"	""	"08/12/2024
08/13/2024"	"Phone
Email"	"28"	"CB (9) 
Quant/Strategy (3)
Quant (1)"	"08/30/2024"	"phone"	"4"	"CB (1)"	""	"1"	"2"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://apply.interfolio.com"
"153"	"University of North Georgia"	NA	"07/15/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178853200&Title=Assistant%2FAssociate%20Professor%20in%20Marketing-Sales-Business"	"Until Filled"	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"154"	"University of North Texas"	NA	"07/16/2024"	"https://careers.untsystem.edu/jobs/assistant-or-associate-professor-of-marketing-denton-texas-united-states"	"Until Filled"	""	"08/11/2024; 08/28/2024; 09/03/2024: 09/11/2024"	"Email"	"Rejected (35)"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://careers.untsystem.edu"
"156"	"University of Dubuque"	NA	"07/16/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178854353&Title=Full-Time%20Faculty%20Positions%20in%20Business%3A%20Marketing%20and%20Accounting"	"Until Filled"	"This and Dubuque say positions start at August 2024 but I'll still share in case they're typos >> Indianapolis: The School seeks applicants for a tenure-track Assistant or Associate Professor in 'Management'."	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"157"	"University of Indianapolis"	NA	"07/09/2024"	"https://jobs.keldair.com/uindy/Faculty/jobs/83067/tenure-track-assistant-or-associate-professor-in-management"	""	"Isn't this mgt position? < yes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://jobs.keldair.com"
"158"	"Trinity Western University "	NA	"07/12/2024"	"https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=c66de3bd-a320-486f-bc92-a3e3ecbb6eda&ccId=9200948622584_2&lang=en_CA&jobId=547136"	"Until Filled"	"Qualification includes: TWU seeks applications who are committed Christians and able to articulate the intersection of Christian faith and business, specifically related to their discipline."	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://workforcenow.adp.com"
"163"	"The University of Chicago: Booth School of Business"	NA	"07/16/2024"	"https://apply.interfolio.com/145321 "	"03/31/2025"	"Assistant/Associate Professor of Behavioral Science. This is tenure-track positions in Behavioral Science beginning in the 2025-26 academic year. They will consider candidates with interests in the areas of decision-making, social psychology and organizations, all broadly defined. <- Booth has its own marketing hiring, see 36. This job is very OB/Social Psych <- They are pretty open. Also includes Behavioral Econ work. <- Booth has a separate posting on Marketing <- plenty of marketing people work in this department, why is this crossed out <- who with a marketing degree? name one? some of them publish in marketing journals but it's only one or two people with joint appointments in the marketing group < Do you think that IF someone were a reasonable candidate for either position, it would be a bad idea to apply to both? <- No, because the behavioural science faculty do ask marketing faculty whether someone (who looks like marketing) has applied to marketing position (I'm from Booth) <- apply to both Booth positions, three senior faculty have cross-appointments in both Marketing & Beh Sci, CB students work with faculty from both depts < Thanks! "	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://apply.interfolio.com"
"164"	"Augustana College"	NA	"07/16/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178854747"	"09/15/2024"	""	"10/10/2024"	"Email"	"2"	"CB (2) Quant (1)"	"11/05/2024"	"email/zoom"	"1"	"CB (1) Quant (1)"	"onsite"	"1"	"1"	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"167"	"University of Minnesota"	NA	"07/16/2024"	"https://hr.myu.umn.edu/jobs/ext/362046"	"Until Filled"	"Job id: 362046 or search for marketing. CB position. <Is this Tenure Track? < talks a lot about research, so I'd assume so"	"08/08/2024"	"Email"	"8"	"CB (8)"	"08/17/2024"	"Email"	"6"	"CB (6)"	""	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://hr.myu.umn.edu"
"169"	"University of Mississippi"	NA	"07/18/2024"	""	""	"AP of Integrated Marketing Communications < School of Journalism and New Media"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
"171"	"University of Oregon"	NA	"07/19/2024"	"https://careers.uoregon.edu/cw/en-us/job/533944?lApplicationSubSourceID="	"08/15/2024"	"Focus on \"Marketing for a Better World\" candidates"	"08/29/2024
09/05/2024"	"Email"	"4
Rejection (10)"	"CB (4)"	"09/13/2024"	"Email"	"2"	"CB(2)"	"onsite"	"1"	"2"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://careers.uoregon.edu"
"172"	"Clemson University"	NA	"07/19/2024"	"https://jobs.chronicle.com/job/37686277/assistant-professor-marketing/"	""	"They really didn't bother updating the years in their description ha < Is it this year's job? Interfolio link says the application is closed. < well, they posted on Chronicle today < I'm able to start an application using the interfolio link < Clemson careers website does not list this job +1 < just confirming that interfolio link works < I was on the market during the years listed in this post. When I clicked on the link, it is taking me back to the application that I already submitted that time. It is not taking me to a new application. And not letting me change the old application. Dunno what that means.< feels like the best thing to do is just submit and see what happens?< on the deliveries page of Interfolio, it says that the position is closed. *** I had contacted a faculty member at Clemson and they told me Clemson is not hiring this year ***

Checked with the school and they are not recruiting."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://jobs.chronicle.com"
"175"	"Midlands Technical College"	NA	"07/18/2024"	"https://www.talent.com/view?id=92b31630a6fc"	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.talent.com"
"176"	"Neeley School of Business"	NA	"07/17/2024"	"https://jobs.tcu.edu/jobs/full-associate-professor-of-marketing-tcu-main-campus-texas-united-states"	""	"They want to hire chair or full professor right?"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://jobs.tcu.edu"
"177"	"UCSD"	NA	"07/19/2024"	"https://apol-recruit.ucsd.edu/JPF04020"	"08/18/2024"	"Quant position < How is it different from the other UCSD posting? <- if you click both, one is CB, one is quant... < Thanks!"	"09/17/2024"	""	"?"	""	"09/17/2024"	"Email"	"1"	"Quant(1)"	"onsite"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://apol-recruit.ucsd.edu"
"178"	"The Ohio State University"	NA	"07/19/2024"	"https://osu.wd1.myworkdayjobs.com/OSUCareers/job/Columbus-Campus/Open-Faculty-Search_R110094-1"	"Until Filled"	"Target hiring date of January 1, 2025 < Looking for quants: \"We seek candidates with expertise in quantitative methods, Bayesian statistics, and/or an interest in applied empirical problems\" < Insider Info: Greg Allenby is the chair in charge of the search committee"	"09/03/2024"	"Email"	"3"	"Quant(3)"	""	"Email"	""	""	""	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://osu.wd1.myworkdayjobs.com"
"179"	"Baruch College"	NA	"07/22/2024"	"https://www.linkedin.com/jobs/view/assistant-professor-marketing-at-the-city-university-of-new-york-3981704998"	"09/02/2024"	"Consumer behavior; $140k-$162k; review of applications begins 7/29    https://cuny.jobs/new-york-ny/assistant-professor-marketing/2EA0125867044A5B9478FFB28943C478/job/"	"09/24/2024"	"Email"	"6"	"CB(6)"	"10/21/2024"	"email"	"1"	"CB(1)"	""	"1"	"1"	""	""	""	"12/13 - received an email saying that they decided not to fill this position at this time"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.linkedin.com"
"180"	"University of Alabama at Birmingham"	NA	"07/19/2024"	"https://uab.peopleadmin.com/postings/22095"	"08/18/2024"	"A full-time tenure-track Assistant Professor of Marketing to begin in the Fall of 2025. Expectations for this position include evidence of an active program of high-quality research and an expressed interest in assuming primary teaching responsibilities in the area of digital and social media marketing. "	"08/19/2024
08/20/2024"	"Email"	"10 (21 have signed up) "	"CB (6)
Quant/Strategy (3) 
Strategy (1)        "	"08/29/2024"	"Email"	"2"	"CB(2)"	""	"1"	"2"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://uab.peopleadmin.com"
"181"	"Villanova University"	NA	"06/24/2024"	"https://jobs.villanova.edu/postings/29236"	"10/01/2024"	"I/O Psychology but this area also does CB related research <- What is going on?"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://jobs.villanova.edu"
"182"	"San Diego State University (SDSU)"	NA	"07/19/2024"	"https://apply.interfolio.com/149120"	"08/20/2024"	"CB(?). \"We are seeking candidates with a teaching and research interest in the areas of consumer insights, AI, analytics, or customer experience management.\" <-I think that could be either CB or quant. << Looks more of a quant position with the analytics, AI. The anticipated salary range is from $138,000 to $142,000 -> so low salary to live in SD... -> I'll still take it +2 -> weather makes up for it"	"09/07/2024"	"Email"	"Total 13 slots (have not finished calling yet, should have more slots)"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://apply.interfolio.com"
"183"	"Vanderbilt University"	NA	"07/23/2024"	"https://apply.interfolio.com/149916"	"08/06/2024"	"The position is open to hires at the assistant, advanced assistant, and associate level."	"08/08/2024"	"Email"	"4"	"CB (4)"	"08/27/2024"	"Email"	"2"	"CB (2)"	""	"2"	"2"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://apply.interfolio.com"
"184"	"University of Pennsylvania (OID)"	NA	"07/23/2024"	"https://apply.interfolio.com/149948"	"09/09/2024"	"For people who do JDM/CB work < ugh, this year is mostly CB positions, what happened?! <- I disagree; many great schools asking for quant +1 < This position is really quite OB-oriented < How do you know?? —> Where is the link to the application? +1 < The link has been updated! < appreciate these posts, but the likelihood of them going for a marketing candidate vs. management is quite low. < Sorry I don't understand this. Wharton has a separate management department, so one could say the opposite as well. <OID is definitely not marketing-oriented, it's OB... but of course one can always apply to it, similar to the Booth situation... <Just apply if you are interested. Most of their CB people left, so they might be looking for CB. You never know."	"10/02/2024"	"Email"	""	"CB"	"10/24/2024"	"Email"	"1"	"Decision processes"	"On-site"	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://apply.interfolio.com"
"186"	"Transylvania University"	NA	"07/25/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178865076&Title=Assistant%20Professor%20of%20Business%20Administration"	"09/15/2024"	"Review of applications will begin on September 15, 2024 (applications close on this date), This is a teaching position \"the teaching load consists of three courses per semester, plus one short-term course in May (3-3-1)\""	"09/20/2024"	"Email"	"2"	"CB (2)"	"10/14/2024"	"Email"	"3"	"CB (3)"	"onsite"	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"187"	"Xavier University of Louisiana"	NA	"07/25/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178865382&Title=Assistant%20Professor%20of%20Mass%20Communications%3A%20Public%20Relations%2FStrategic%20Communications"	"11/01/2024"	"Professor of Mass Communications, but they're also looking for people with marketing background< Though I do not think they might hire marketing people"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"188"	"University of Notre Dame"	NA	"07/25/2024"	"https://apply.interfolio.com/150442"	"09/01/2024"	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://apply.interfolio.com"
"189"	"Morningside University"	NA	"07/25/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178866832&Title=Associate%20or%20Assistant%20Professor%20in%20the%20School%20of%20Business"	"Until filled"	"Candidates for searches must have current authorization to be employed in the U.S. without employer sponsorship. "	"10/15/2024"	"Email"	"Rejected (1)"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"190"	"Wright State University"	NA	"07/29/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178868315&Title=Assistant%20Professor"	"09/01/2024"	"Is this a management or marketing job? The description says PhD in Strategic Management, but nothing else > Management"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"191"	"Rutgers - Camden"	NA	"07/30/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178869698&Title=Tenure%20Track%20Professor%2C%20Marketing"	"Until Filled"	"Review of applications will begin immediately. interests in sales, digital marketing, sustainability marketing, consumer well-being, and strategy"	"08/27/2024
09/18/2024"	"Email"	"3
1 (also reporting it below)"	"CB (1) quant(2)
Strategy (1)"	"10/01/2024"	""	"1"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"192"	"University of South Carolina Upstate"	NA	"07/30/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178869473&Title=Assistant%20or%20Associate%20Professor%20of%20Business%20Analytics"	""	"AP of Business Analytics; teaching role; TT <- I think it is the BA job<The search committee chair is from Department of Economics, Finance and Accounting..seems not relevant?"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"194"	"Stonehill College (Meehan School of Business)"	NA	"07/31/2024"	"https://jobs.stonehill.edu/postings/24777"	"08/24/2024"	"We seek applicants with a strong interest in teaching and scholarship in the field of Marketing. Candidates with research and teaching interests in Consumer Behavior, Digital Marketing, or Marketing Analytics are preferred. Candidates should have the ability and desire to teach a variety of undergraduate marketing courses. Professional work experience in Marketing, with progressively increasing responsibility, is desirable.<<  A strong preference will be given to applicants who possess at least five years of both professional and academic experience in marketing"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://jobs.stonehill.edu"
"195"	"University of North Carolina Greensboro"	NA	"07/18/2024"	"https://spartantalent.uncg.edu/postings/29701"	"08/19/2024"	"Assistant Professor in Entrepreneurship --> Doesn't seem a Marketing AP (technically) < Applicants should hold a Doctoral Degree in either Entrepreneurship,  Marketing, Management (or in Business with a concentration in  Entrepreneurship) -> We will be at the Academy of Management Conference in Chicago, IL., August 9-13, 2024, and will be interviewing at that conference."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://spartantalent.uncg.edu"
